Iter,O,D,aCost,bCost
76,N004,N003,0.566571428,1.3684714416666668
77,N001,N002,0.48314285700000004,1.337857143
77,N001,N003,0.5331428570000001,1.3755574830000001
77,N004,N002,0.516571428,1.352857143
77,N004,N003,0.566571428,1.3684714416666668
78,N001,N002,0.48314285700000004,1.337857143
78,N001,N003,0.5331428570000001,1.3755574830000001
78,N004,N002,0.516571428,1.352857143
78,N004,N003,0.566571428,1.3684714416666668
79,N001,N002,0.48314285700000004,1.337857143
79,N001,N003,0.5331428570000001,1.3755574830000001
79,N004,N002,0.516571428,1.352857143
79,N004,N003,0.566571428,1.3684714416666668
80,N001,N002,0.48314285700000004,1.337857143
80,N001,N003,0.5331428570000001,1.3755574830000001
80,N004,N002,0.516571428,1.352857143
80,N004,N003,0.566571428,1.3684714416666668
81,N001,N002,0.48314285700000004,1.337857143
81,N001,N003,0.5331428570000001,1.3755574830000001
81,N004,N002,0.516571428,1.352857143
81,N004,N003,0.566571428,1.3684714416666668
82,N001,N002,0.48314285700000004,1.337857143
82,N001,N003,0.5331428570000001,1.3755574830000001
82,N004,N002,0.516571428,1.352857143
82,N004,N003,0.566571428,1.3684714416666668
83,N001,N002,0.48314285700000004,1.337857143
83,N001,N003,0.5331428570000001,1.3755574830000001
83,N004,N002,0.516571428,1.352857143
83,N004,N003,0.566571428,1.3684714416666668
84,N001,N002,0.48314285700000004,1.337857143
84,N001,N003,0.5331428570000001,1.3755574830000001
84,N004,N002,0.516571428,1.352857143
84,N004,N003,0.566571428,1.3684714416666668
85,N001,N002,0.48314285700000004,1.337857143
85,N001,N003,0.5331428570000001,1.3755574830000001
85,N004,N002,0.516571428,1.352857143
85,N004,N003,0.566571428,1.3684714416666668
86,N001,N002,0.48314285700000004,1.337857143
86,N001,N003,0.5331428570000001,1.3755574830000001
86,N004,N002,0.516571428,1.352857143
86,N004,N003,0.566571428,1.3684714416666668
87,N001,N002,0.48314285700000004,1.337857143
87,N001,N003,0.5331428570000001,1.3755574830000001
87,N004,N002,0.516571428,1.352857143
87,N004,N003,0.566571428,1.3684714416666668
88,N001,N002,0.48314285700000004,1.337857143
88,N001,N003,0.5331428570000001,1.3755574830000001
88,N004,N002,0.516571428,1.352857143
88,N004,N003,0.566571428,1.3684714416666668
89,N001,N002,0.48314285700000004,1.337857143
89,N001,N003,0.5331428570000001,1.3755574830000001
89,N004,N002,0.516571428,1.352857143
89,N004,N003,0.566571428,1.3684714416666668
90,N001,N002,0.48314285700000004,1.337857143
90,N001,N003,0.5331428570000001,1.3755574830000001
90,N004,N002,0.516571428,1.352857143
90,N004,N003,0.566571428,1.3684714416666668
91,N001,N002,0.48314285700000004,1.337857143
91,N001,N003,0.5331428570000001,1.3755574830000001
91,N004,N002,0.516571428,1.352857143
91,N004,N003,0.566571428,1.3684714416666668
92,N001,N002,0.48314285700000004,1.337857143
92,N001,N003,0.5331428570000001,1.3755574830000001
92,N004,N002,0.516571428,1.352857143
92,N004,N003,0.566571428,1.3684714416666668
93,N001,N002,0.48314285700000004,1.337857143
93,N001,N003,0.5331428570000001,1.3755574830000001
93,N004,N002,0.516571428,1.352857143
93,N004,N003,0.566571428,1.3684714416666668
94,N001,N002,0.48314285700000004,1.337857143
94,N001,N003,0.5331428570000001,1.3755574830000001
94,N004,N002,0.516571428,1.352857143
94,N004,N003,0.566571428,1.3684714416666668
95,N001,N002,0.48314285700000004,1.337857143
95,N001,N003,0.5331428570000001,1.3755574830000001
95,N004,N002,0.516571428,1.352857143
95,N004,N003,0.566571428,1.3684714416666668
96,N001,N002,0.48314285700000004,1.337857143
96,N001,N003,0.5331428570000001,1.3755574830000001
96,N004,N002,0.516571428,1.352857143
96,N004,N003,0.566571428,1.3684714416666668
97,N001,N002,0.48314285700000004,1.337857143
